Set_id,View,Rank,Skip,Density,Convg,Root,Rain,Obsv,Year
6/29/2000,50,3,3,27,3,8.67,9.09,9.37,2000
6/27/2000,80,2,1,5,15,10.1082,10.1,9.87,2000
6/27/2000,80,2,1,5,15,10.203,10.1,9.87,2000
6/27/2000,80,2,1,5,15,10.1737,10.1,9.87,2000
6/27/2000,80,3,1,5,15,10.176,10.1,9.87,2000
6/27/2000,80,3,1,5,15,10.0818,10.1,9.87,2000
6/27/2000,80,3,1,5,15,10.1952,10.1,9.87,2000
6/27/2000,80,3,1,5,15,10.1737,10.1,9.87,2000
6/28/2000,40,1,1,4,15,9.8309,10.1,9.65,2000
6/28/2000,40,1,1,4,15,9.8179,10.1,9.65,2000
6/28/2000,40,1,1,4,15,10.1803,10.1,9.65,2000
6/28/2000,40,1,1,4,15,9.767,10.1,9.65,2000
6/28/2000,40,1,1,4,15,10.1796,10.1,9.65,2000
6/28/2000,40,1,1,4,15,10.1735,10.1,9.65,2000
6/27/2000,80,2,1,5,15,10.1761,10.1,9.87,2000
6/28/2000,40,1,2,4,15,9.8309,10.1,9.65,2000
6/28/2000,40,1,2,4,15,9.9004,10.1,9.65,2000
6/28/2000,40,1,2,4,15,9.7833,10.1,9.65,2000
6/28/2000,40,1,3,4,15,9.8309,10.1,9.65,2000
6/28/2000,40,1,3,4,15,9.713,10.1,9.65,2000
6/28/2000,40,1,3,4,15,9.9004,10.1,9.65,2000
6/28/2000,40,1,3,4,15,9.7833,10.1,9.65,2000
6/28/2000,40,2,1,4,15,9.8233,10.1,9.65,2000
6/28/2000,40,2,1,4,15,9.812,10.1,9.65,2000
6/28/2000,40,2,1,4,15,10.1802,10.1,9.65,2000
6/28/2000,40,2,1,4,15,9.7628,10.1,9.65,2000
6/28/2000,40,2,1,4,15,10.1795,10.1,9.65,2000
6/28/2000,40,2,1,4,15,10.1735,10.1,9.65,2000
6/28/2000,40,2,2,4,15,9.8233,10.1,9.65,2000
6/28/2000,40,1,2,4,15,9.713,10.1,9.65,2000
6/27/2000,80,1,1,5,15,10.1737,10.1,9.87,2000
6/27/2000,80,1,1,5,15,10.204,10.1,9.87,2000
6/27/2000,80,1,1,5,15,10.1103,10.1,9.87,2000
6/27/2000,50,1,3,4,15,10.2476,10.1,9.87,2000
6/27/2000,50,1,3,4,15,10.1737,10.1,9.87,2000
6/27/2000,50,2,1,4,15,9.9302,10.1,9.87,2000
6/27/2000,50,2,1,4,15,10.1753,10.1,9.87,2000
6/27/2000,50,2,1,4,15,10.1396,10.1,9.87,2000
6/27/2000,50,2,1,4,15,10.2279,10.1,9.87,2000
6/27/2000,50,2,1,4,15,10.1737,10.1,9.87,2000
6/27/2000,50,2,2,4,15,10.1754,10.1,9.87,2000
6/27/2000,50,2,2,4,15,10.1396,10.1,9.87,2000
6/27/2000,50,2,2,4,15,10.2279,10.1,9.87,2000
6/27/2000,50,2,2,4,15,10.1737,10.1,9.87,2000
6/27/2000,50,2,3,4,15,10.1754,10.1,9.87,2000
6/27/2000,50,2,3,4,15,10.1396,10.1,9.87,2000
6/27/2000,50,2,3,4,15,10.2279,10.1,9.87,2000
6/27/2000,50,2,3,4,15,10.1737,10.1,9.87,2000
6/27/2000,50,3,1,4,15,9.9302,10.1,9.87,2000
6/27/2000,50,3,1,4,15,10.1753,10.1,9.87,2000
6/27/2000,50,3,1,4,15,10.1396,10.1,9.87,2000
6/27/2000,50,3,1,4,15,10.2279,10.1,9.87,2000
6/27/2000,50,3,1,4,15,10.1737,10.1,9.87,2000
6/27/2000,50,3,2,4,15,10.1754,10.1,9.87,2000
6/27/2000,50,3,2,4,15,10.1396,10.1,9.87,2000
6/27/2000,50,3,2,4,15,10.2279,10.1,9.87,2000
6/27/2000,50,3,2,4,15,10.1737,10.1,9.87,2000
6/27/2000,50,3,3,4,15,10.1754,10.1,9.87,2000
6/27/2000,50,3,3,4,15,10.1396,10.1,9.87,2000
6/27/2000,50,3,3,4,15,10.2279,10.1,9.87,2000
6/27/2000,50,3,3,4,15,10.1737,10.1,9.87,2000
6/27/2000,80,1,1,5,15,10.1761,10.1,9.87,2000
6/28/2000,40,2,2,4,15,9.6876,10.1,9.65,2000
6/27/2000,50,1,3,4,15,10.1495,10.1,9.87,2000
6/28/2000,40,2,2,4,15,9.8984,10.1,9.65,2000
6/28/2000,40,2,3,4,15,9.8233,10.1,9.65,2000
6/28/2000,50,2,1,4,15,10.1793,10.1,9.65,2000
6/28/2000,50,2,1,4,15,10.1735,10.1,9.65,2000
6/28/2000,50,2,2,4,15,9.8525,10.1,9.65,2000
6/28/2000,50,2,2,4,15,9.8591,10.1,9.65,2000
6/28/2000,50,2,2,4,15,9.79,10.1,9.65,2000
6/28/2000,50,2,3,4,15,9.8525,10.1,9.65,2000
6/28/2000,50,2,3,4,15,9.8591,10.1,9.65,2000
6/28/2000,50,2,3,4,15,9.79,10.1,9.65,2000
6/28/2000,50,3,1,4,15,9.8524,10.1,9.65,2000
6/28/2000,50,3,1,4,15,9.8099,10.1,9.65,2000
6/28/2000,50,3,1,4,15,10.1802,10.1,9.65,2000
6/28/2000,50,3,1,4,15,9.7434,10.1,9.65,2000
6/28/2000,50,3,1,4,15,10.1794,10.1,9.65,2000
6/28/2000,50,2,1,4,15,9.7426,10.1,9.65,2000
6/28/2000,50,3,1,4,15,10.1735,10.1,9.65,2000
6/28/2000,50,3,2,4,15,9.8589,10.1,9.65,2000
6/28/2000,50,3,2,4,15,9.7898,10.1,9.65,2000
6/28/2000,50,3,3,4,15,9.8524,10.1,9.65,2000
6/28/2000,50,3,3,4,15,9.8589,10.1,9.65,2000
6/28/2000,50,3,3,4,15,9.7898,10.1,9.65,2000
6/28/2000,80,1,1,5,15,9.747,10.1,9.65,2000
6/28/2000,80,1,1,5,15,10.0984,10.1,9.65,2000
6/28/2000,80,1,1,5,15,10.1996,10.1,9.65,2000
6/28/2000,80,1,1,5,15,9.6898,10.1,9.65,2000
6/28/2000,80,1,1,5,15,10.1789,10.1,9.65,2000
6/28/2000,80,1,1,5,15,10.1735,10.1,9.65,2000
6/28/2000,80,1,2,5,15,9.747,10.1,9.65,2000
6/28/2000,80,1,2,5,15,9.4966,10.1,9.65,2000
6/28/2000,50,3,2,4,15,9.8524,10.1,9.65,2000
6/28/2000,50,2,1,4,15,10.1801,10.1,9.65,2000
6/28/2000,50,2,1,4,15,9.8059,10.1,9.65,2000
6/28/2000,50,2,1,4,15,9.8525,10.1,9.65,2000
6/28/2000,40,2,3,4,15,9.6876,10.1,9.65,2000
6/28/2000,40,2,3,4,15,9.8984,10.1,9.65,2000
6/28/2000,40,2,3,4,15,9.7845,10.1,9.65,2000
6/28/2000,40,3,1,4,15,9.83,10.1,9.65,2000
6/28/2000,40,3,1,4,15,9.8172,10.1,9.65,2000
6/28/2000,40,3,1,4,15,10.1802,10.1,9.65,2000
6/28/2000,40,3,1,4,15,9.7664,10.1,9.65,2000
6/28/2000,40,3,1,4,15,10.1796,10.1,9.65,2000
6/28/2000,40,3,1,4,15,10.1735,10.1,9.65,2000
6/28/2000,40,3,2,4,15,9.83,10.1,9.65,2000
6/28/2000,40,3,2,4,15,9.7096,10.1,9.65,2000
6/28/2000,40,3,2,4,15,9.9001,10.1,9.65,2000
6/28/2000,40,3,2,4,15,9.7835,10.1,9.65,2000
6/28/2000,40,3,3,4,15,9.83,10.1,9.65,2000
6/28/2000,40,3,3,4,15,9.7096,10.1,9.65,2000
